Tidstämpel,"Om INTE idag, ange datum:",id,Datum,Tid,Veckodag,Aktivitet,Antal deltagare,Total_visitors,Aprox deltagare,andel_deltagare_alla,Egen bedömning av aktiviteten,Anpassningstext,Anpassningskod,Anpassningskategori namngiven,Din bedömning av deltagarnas intressenivå,Intressenivå,Tips,Utrop,,,,,,,
6/10/2024,6/10/2024,12,6/10/2024,10:00,1,Annan,7-12,1245,"9,5","0,76%",6,Raketuppskjutning,5,5_innehåll,Intresserade (de flesta),3,,,,,,,6/10/2024,1,1245
6/10/2024,6/10/2024,8,6/10/2024,10:30,1,Regnbågskemi,7-12,1245,"9,5","0,76%",6,Hade enbart en förskolegrupp så de fick mest sitta och testa sig fram med en hel del hjälp. Därför blev det också ganska så kort genomgång om densitet i början. ,1,1_publik_mängd_karaktär,Mycket intresserade (de flesta),4,,,,,,,6/11/2024,2,538
6/10/2024,6/10/2024,3,6/10/2024,10:30,1,Demoshow: Neptunus nästa!,3-6,1245,"4,5","0,36%",7,"Barn blev otåliga och ville röra på benen, fick sluta vid 13 min istället för 15 min",3,3_ålder,Intresserade (de flesta),3,"Om du testar klicken så kan man ej gå tillbaka, då tryckte jag återigen på Open Space och sen NN på panelen ",,,,,,6/12/2024,3,1449
6/10/2024,6/10/2024,1,6/10/2024,10:30,1,Guidning: Hajspaning - sv,41-70,1245,"55,5","4,46%",6,,,,Mycket intresserade (de flesta),4,"Frågor dök upp under guidningen som besvarades. Vissa frågor gjorde så att andra tröttnade och lämnade. Därmed få kvar då jag pratade om hur hajar dör och hur viktiga de är i ekosystem. Många var väldigt intresserade till en början, men det blev nog för mycket frågestund",,,,,,6/13/2024,4,850
6/10/2024,6/10/2024,13,6/10/2024,11:00,1,Guidning: Minnespalatset - eng,0,1245,0,"0,00%",1,Engelska,2,2_språk,Ej intresserade (de flesta),1,,,,,,,6/14/2024,5,1431
6/10/2024,6/10/2024,2,6/10/2024,11:00,1,Guidning: Havet - sv,13-20,1245,"16,5","1,33%",5,"Första gången jag höll, svårt att hålla isär med gamla västerhavspaningen. Blev nog lite spretig",9,9_genomförande,Intresserade (de flesta),3,,,,,,,6/15/2024,6,1990
6/10/2024,6/10/2024,42,6/10/2024,11:00,1,Demoshow: Smartare än en robot,13-20,1245,"16,5","1,33%",6,,,,Blandat,2,,,,,,,6/16/2024,0,1209
6/10/2024,6/10/2024,4,6/10/2024,11:30,1,Guidning: Visualiserad vetenskap - sv,0,1245,0,"0,00%",4,Flera utrop och försökte fånga upp de som visade intresse men fick istället hålla lite ”personliga” guidningar utan mikrofon.,1,1_publik_mängd_karaktär,Ej intresserade (de flesta),1,,,,,,,6/17/2024,1,1162
6/10/2024,6/10/2024,5,6/10/2024,11:30,1,Guidning: Visualiserad vetenskap - sv,0,1245,0,"0,00%",4,Flera utrop och försökte fånga upp de som visade intresse men fick istället hålla lite ”personliga” guidningar utan mikrofon.,1,1_publik_mängd_karaktär,Ej intresserade (de flesta),1,,,,,,,6/18/2024,2,1067
6/10/2024,6/10/2024,11,6/10/2024,11:30,1,Demoshow: Neptunus nästa!,7-12,1245,"9,5","0,76%",4,Första gången jag körde den. Fokuserade på att få manus rätt.,9,9_genomförande,Intresserade (de flesta),3,Bara en månnyckel blev struligt då 2 behövde den samtidigt. Mikrofon stationer oklara.,,,,,,6/19/2024,3,924
6/10/2024,6/10/2024,9,6/10/2024,11:30,1,Regnbågskemi,7-12,1245,"9,5","0,76%",6,,,,Intresserade (de flesta),3,,,,,,,6/20/2024,4,808
6/10/2024,6/10/2024,28,6/10/2024,12:00,1,Annan,21-40,1245,"30,5","2,45%",7,"2 ordentligt energiska skolklasser som skrek för fulla halsar och ständigt ville berätta vad dom visste om dinosaurier. Otroligt roligt, men fick anpassa repliker för att fånga deras uppmärksamhet ett par gånger, samt fick hoppa vissa repliker för att den inte skulle bli så lång pga alla kommentarer osv! Dom var otroooligt nöjda och glada efteråt, både pedagoger och barn!",1,1_publik_mängd_karaktär,Mycket intresserade (de flesta),4,,,,,,,6/21/2024,5,465
6/10/2024,6/10/2024,43,6/10/2024,12:00,1,Demoshow: Smartare än en robot,13-20,1245,"16,5","1,33%",5,Kontrollera så att mottagaren lyser blått en extra gång,4,4_teknik,Blandat,2,,,,,,,6/22/2024,6,3283
6/10/2024,6/10/2024,31,6/10/2024,12:00,1,Demoshow: Insektshotellet,0,1245,0,"0,00%",1,,,,Ej intresserade (de flesta),1,,,,,,,6/23/2024,0,1363
6/10/2024,6/10/2024,6,6/10/2024,12:00,1,Guidning: Hajspaning - sv,3-6,1245,"4,5","0,36%",4,,,,Intresserade (de flesta),3,Glömde öppna skåpen innan start - inte jättesnyggt att stå och öppna under presentationen. Med andra ord: öppna innan. ,,,,,,6/24/2024,1,1068
6/10/2024,6/10/2024,7,6/10/2024,12:00,1,Guidning: Hajspaning - sv,3-6,1245,"4,5","0,36%",4,,,,Intresserade (de flesta),3,Glömde öppna skåpen innan start - inte jättesnyggt att stå och öppna under presentationen. Med andra ord: öppna innan. ,,,,,,6/25/2024,2,1000
